cli_document,recencia,frequencia,monetario,R,F,M,rfm_score,rfm_total,segmento
CLI_0B4F8441,52,1,124.16,5,4,1,541,10,Skin Glow
CLI_0B4FD934,510,1,319.41,1,4,4,144,9,Skin Bloom
CLI_0B506F5E,445,1,134.91,1,4,2,142,7,Skin Bloom
CLI_0B5207F1,165,1,394.02,4,4,4,444,12,Skin Glow
CLI_0B5462C6,33,1,59.29,5,4,1,541,10,Skin Glow
CLI_0B549998,461,1,304.39,1,4,4,144,9,Skin Bloom
CLI_0B54E631,403,1,159.79,2,4,2,242,8,Skin Bloom
CLI_0B552D6A,535,1,99.9,1,4,1,141,6,Skin Bloom
CLI_0B557CFA,11,3,434.53999999999996,5,5,5,555,15,Skin Glow
CLI_0B55B577,27,1,248.9,5,4,3,543,12,Skin Glow
CLI_0B57A003,283,1,777.0,3,4,5,345,12,Skin Glow
CLI_0B58D36A,15,1,309.7,5,4,4,544,13,Skin Glow
CLI_0B5A3ED8,194,1,168.73,3,4,3,343,10,Skin Glow
CLI_0B5C16EF,28,1,112.67,5,4,1,541,10,Skin Glow
CLI_0B5E3D3C,81,6,1228.92,4,5,5,455,14,Skin Glow
CLI_0B5E4FF8,498,1,139.86,1,4,2,142,7,Skin Bloom
CLI_0B5FEBAA,383,1,221.38,2,4,3,243,9,Skin Bloom
CLI_0B60EBD6,393,1,111.9,2,4,1,241,7,Skin Bloom
CLI_0B621363,31,1,206.96,5,4,3,543,12,Skin Glow
CLI_0B6358B8,482,1,161.85,1,4,2,142,7,Skin Bloom
CLI_0B655B24,14,2,1189.58,5,5,5,555,15,Skin Glow
CLI_0B65AD96,34,1,186.83,5,4,3,543,12,Skin Glow
CLI_0B660E9F,525,1,253.74,1,4,4,144,9,Skin Bloom
CLI_0B68105F,2,1,289.58,5,4,4,544,13,Skin Glow
CLI_0B6B6BDC,401,1,148.56,2,4,2,242,8,Skin Bloom
CLI_0B6E35F7,172,1,89.91,3,4,1,341,8,Skin Glow
CLI_0B6EB1F6,333,1,128.62,2,4,2,242,8,Skin Bloom
CLI_0B6F7C64,97,1,846.12,4,4,5,445,13,Skin Glow
CLI_0B72AF72,47,1,66.93,5,4,1,541,10,Skin Glow
CLI_0B72B76E,42,1,138.46,5,4,2,542,11,Skin Glow
CLI_0B78C1CC,116,2,559.0699999999999,4,5,5,455,14,Skin Glow
CLI_0B78D76F,496,1,109.9,1,4,1,141,6,Skin Bloom
CLI_0B79372F,474,1,158.9,1,4,2,142,7,Skin Bloom
CLI_0B79AD20,208,1,157.91,3,4,2,342,9,Skin Glow
CLI_0B7ADEAC,179,1,177.37,3,4,3,343,10,Skin Glow
CLI_0B7B3D94,50,8,2220.06,5,5,5,555,15,Skin Glow
CLI_0B7C47CA,101,1,150.47,4,4,2,442,10,Skin Glow
CLI_0B7C7EEF,302,1,260.32,3,4,4,344,11,Skin Glow
CLI_0B7CC5D3,302,2,562.84,3,5,5,355,13,Skin Glow
CLI_0B7D263F,29,1,242.92,5,4,3,543,12,Skin Glow
CLI_0B7D2BAC,410,2,503.33000000000004,2,5,5,255,12,Skin Bloom
CLI_0B7DAF0E,452,2,295.48,1,5,4,154,10,Skin Bloom
CLI_0B8006CE,337,1,80.67,2,4,1,241,7,Skin Bloom
CLI_0B815A20,131,2,313.49,4,5,4,454,13,Skin Glow
CLI_0B81CFBB,250,3,378.48,3,5,4,354,12,Skin Glow
CLI_0B825A3D,83,1,220.3,4,4,3,443,11,Skin Glow
CLI_0B875F66,290,1,134.66,3,4,2,342,9,Skin Glow
CLI_0B88CB6F,351,1,183.62,2,4,3,243,9,Skin Bloom
CLI_0B8947E2,282,1,134.03,3,4,2,342,9,Skin Glow
CLI_0B8D94A9,264,1,299.8,3,4,4,344,11,Skin Glow
CLI_0B8DF770,39,3,406.94,5,5,4,554,14,Skin Glow
CLI_0B8F87B0,409,1,292.7,2,4,4,244,10,Skin Bloom
CLI_0B913D21,201,1,129.96,3,4,2,342,9,Skin Glow
CLI_0B924DAA,159,1,268.2,4,4,4,444,12,Skin Glow
CLI_0B930501,203,1,136.75,3,4,2,342,9,Skin Glow
CLI_0B93F75C,534,1,89.25,1,4,1,141,6,Skin Bloom
CLI_0B993A85,33,1,186.76,5,4,3,543,12,Skin Glow
CLI_0B99476C,403,2,245.61,2,5,3,253,10,Skin Bloom
CLI_0B9957CD,426,1,105.72,2,4,1,241,7,Skin Bloom
CLI_0B99654E,541,1,105.0,1,4,1,141,6,Skin Bloom
CLI_0B9A24C7,151,1,139.05,4,4,2,442,10,Skin Glow
CLI_0B9C082C,2,1,73.95,5,4,1,541,10,Skin Glow
CLI_0B9C4171,506,1,304.62,1,4,4,144,9,Skin Bloom
CLI_0B9D4A87,265,1,89.91,3,4,1,341,8,Skin Glow
CLI_0B9EA07C,292,1,502.07,3,4,5,345,12,Skin Glow
CLI_0BA010B3,381,1,103.2,2,4,1,241,7,Skin Bloom
CLI_0BA0207F,2,1,206.15,5,4,3,543,12,Skin Glow
CLI_0BA02360,549,1,341.56,1,4,4,144,9,Skin Bloom
CLI_0BA0697C,403,1,145.85,2,4,2,242,8,Skin Bloom
CLI_0BA19BC4,336,1,167.63,2,4,3,243,9,Skin Bloom
CLI_0BA4F0A0,33,1,185.32,5,4,3,543,12,Skin Glow
CLI_0BA6D4A5,420,1,214.98,2,4,3,243,9,Skin Bloom
CLI_0BA8C817,43,2,352.87,5,5,4,554,14,Skin Glow
CLI_0BA9C644,107,2,1148.47,4,5,5,455,14,Skin Glow
CLI_0BAA17A7,16,4,1297.01,5,5,5,555,15,Skin Glow
CLI_0BAAF591,242,1,106.56,3,4,1,341,8,Skin Glow
CLI_0BABDE70,152,3,1673.0,4,5,5,455,14,Skin Glow
CLI_0BAC42AD,284,2,359.8,3,5,4,354,12,Skin Glow
CLI_0BAD634D,400,1,136.7,2,4,2,242,8,Skin Bloom
CLI_0BAE8BE3,509,1,128.19,1,4,2,142,7,Skin Bloom
CLI_0BB173C5,294,1,168.81,3,4,3,343,10,Skin Glow
CLI_0BB33B1D,24,1,282.44,5,4,4,544,13,Skin Glow
CLI_0BB65C83,34,1,104.48,5,4,1,541,10,Skin Glow
CLI_0BB7C0AC,498,1,69.93,1,4,1,141,6,Skin Bloom
CLI_0BB98BB5,462,1,286.94,1,4,4,144,9,Skin Bloom
CLI_0BB98BFD,54,1,313.65,4,4,4,444,12,Skin Glow
CLI_0BBB3D2A,492,1,111.92,1,4,1,141,6,Skin Bloom
CLI_0BBB9A6C,84,1,250.39,4,4,4,444,12,Skin Glow
CLI_0BBC0324,498,1,139.86,1,4,2,142,7,Skin Bloom
CLI_0BBCCA60,11,1,107.34,5,4,1,541,10,Skin Glow
CLI_0BBE8EDB,455,1,151.71,1,4,2,142,7,Skin Bloom
CLI_0BC2B297,9,1,233.66,5,4,3,543,12,Skin Glow
CLI_0BC5F362,33,1,210.44,5,4,3,543,12,Skin Glow
CLI_0BC783B7,142,2,308.76,4,5,4,454,13,Skin Glow
CLI_0BC837E9,368,2,521.02,2,5,5,255,12,Skin Bloom
CLI_0BC8D6CE,395,1,118.5,2,4,1,241,7,Skin Bloom
CLI_0BCE0AF6,37,2,459.83,5,5,5,555,15,Skin Glow
CLI_0BCE1AB4,403,1,324.17,2,4,4,244,10,Skin Bloom
CLI_0BCE40FD,33,1,276.92,5,4,4,544,13,Skin Glow
CLI_0BCF6F58,104,3,733.85,4,5,5,455,14,Skin Glow
CLI_0BCFFD69,417,1,75.0,2,4,1,241,7,Skin Bloom
CLI_0BD0E139,456,1,209.9,1,4,3,143,8,Skin Bloom
CLI_0BD0F76E,46,1,240.4,5,4,3,543,12,Skin Glow
CLI_0BD11AD1,326,1,136.13,2,4,2,242,8,Skin Bloom
CLI_0BD17CD3,384,1,209.9,2,4,3,243,9,Skin Bloom
CLI_0BD23A52,49,2,430.70000000000005,5,5,5,555,15,Skin Glow
CLI_0BD36A73,445,1,143.01,1,4,2,142,7,Skin Bloom
CLI_0BD48B9D,54,1,170.32,4,4,3,443,11,Skin Glow
CLI_0BD60815,76,1,138.29,4,4,2,442,10,Skin Glow
CLI_0BD65C8A,406,1,651.92,2,4,5,245,11,Skin Bloom
CLI_0BD9B694,519,1,139.86,1,4,2,142,7,Skin Bloom
CLI_0BDA1FF8,32,1,96.53,5,4,1,541,10,Skin Glow
CLI_0BDB4C7C,397,1,173.97,2,4,3,243,9,Skin Bloom
CLI_0BDB6AB1,321,1,151.71,2,4,2,242,8,Skin Bloom
CLI_0BDBD06A,271,1,299.9,3,4,4,344,11,Skin Glow
CLI_0BDCF8C8,129,1,155.87,4,4,2,442,10,Skin Glow
CLI_0BDD9920,207,2,262.98,3,5,4,354,12,Skin Glow
CLI_0BDDDFC6,547,1,289.83,1,4,4,144,9,Skin Bloom
CLI_0BDE0B38,169,2,301.61,3,5,4,354,12,Skin Glow
CLI_0BDF4F7E,124,1,171.62,4,4,3,443,11,Skin Glow
CLI_0BDFD3FB,317,1,169.74,2,4,3,243,9,Skin Bloom
CLI_0BE1E205,508,1,84.92,1,4,1,141,6,Skin Bloom
CLI_0BE25538,296,1,1097.68,3,4,5,345,12,Skin Glow
CLI_0BE35A34,525,1,217.44,1,4,3,143,8,Skin Bloom
CLI_0BE361B7,328,1,239.0,2,4,3,243,9,Skin Bloom
CLI_0BE3784F,416,1,144.07,2,4,2,242,8,Skin Bloom
CLI_0BE38D79,32,3,324.16999999999996,5,5,4,554,14,Skin Glow
CLI_0BE6A6F7,327,1,63.6,2,4,1,241,7,Skin Bloom
CLI_0BE6B8AD,449,1,158.91,1,4,2,142,7,Skin Bloom
CLI_0BE83410,401,1,162.47,2,4,3,243,9,Skin Bloom
CLI_0BEB5980,224,1,130.2,3,4,2,342,9,Skin Glow
CLI_0BEBAA9B,498,1,209.79,1,4,3,143,8,Skin Bloom
CLI_0BEBC970,230,1,276.75,3,4,4,344,11,Skin Glow
CLI_0BEBD0EC,412,1,208.75,2,4,3,243,9,Skin Bloom
CLI_0BED2837,178,1,186.29,3,4,3,343,10,Skin Glow
CLI_0BEE87F1,264,2,255.52,3,5,4,354,12,Skin Glow
CLI_0BEF6724,31,1,94.49,5,4,1,541,10,Skin Glow
CLI_0BF2C378,340,1,127.88,2,4,2,242,8,Skin Bloom
CLI_0BF47A80,31,1,261.03,5,4,4,544,13,Skin Glow
CLI_0BF57136,497,1,134.91,1,4,2,142,7,Skin Bloom
CLI_0BF97804,129,1,153.01,4,4,2,442,10,Skin Glow
CLI_0BFC230B,123,1,88.16,4,4,1,441,9,Skin Glow
CLI_0BFD61C8,542,1,633.8,1,4,5,145,10,Skin Bloom
CLI_0BFDCA31,31,1,94.61,5,4,1,541,10,Skin Glow
CLI_0BFF2B78,326,1,244.29,2,4,3,243,9,Skin Bloom
CLI_0BFFDD0C,194,4,634.4,3,5,5,355,13,Skin Glow
CLI_0C008F56,46,1,144.62,5,4,2,542,11,Skin Glow
CLI_0C01AFE4,216,1,84.92,3,4,1,341,8,Skin Glow
CLI_0C021831,180,1,241.26,3,4,3,343,10,Skin Glow
CLI_0C027758,250,1,249.52,3,4,3,343,10,Skin Glow
CLI_0C059BDD,235,1,171.54,3,4,3,343,10,Skin Glow
CLI_0C0D949B,546,1,119.18,1,4,1,141,6,Skin Bloom
CLI_0C0DAF86,122,3,488.8,4,5,5,455,14,Skin Glow
CLI_0C0E548E,499,1,382.81,1,4,4,144,9,Skin Bloom
CLI_0C0E5E91,343,2,384.29999999999995,2,5,4,254,11,Skin Bloom
CLI_0C1195EF,62,1,223.0,4,4,3,443,11,Skin Glow
CLI_0C13B812,31,1,195.08,5,4,3,543,12,Skin Glow
CLI_0C168750,106,1,94.59,4,4,1,441,9,Skin Glow
CLI_0C1B05DD,438,1,195.65,1,4,3,143,8,Skin Bloom
CLI_0C1BDF5A,478,1,237.49,1,4,3,143,8,Skin Bloom
CLI_0C1C0AD6,79,2,178.82,4,5,3,453,12,Skin Glow
CLI_0C1CC9F9,448,1,215.02,1,4,3,143,8,Skin Bloom
CLI_0C1F81E0,397,1,335.09,2,4,4,244,10,Skin Bloom
CLI_0C21B009,490,1,208.7,1,4,3,143,8,Skin Bloom
CLI_0C21E647,145,1,138.39,4,4,2,442,10,Skin Glow
CLI_0C22579B,281,1,221.07,3,4,3,343,10,Skin Glow
CLI_0C22C070,40,1,380.81,5,4,4,544,13,Skin Glow
CLI_0C22C4BD,48,2,260.08,5,5,4,554,14,Skin Glow
CLI_0C23D939,111,1,269.0,4,4,4,444,12,Skin Glow
CLI_0C26A902,401,1,92.32,2,4,1,241,7,Skin Bloom
CLI_0C281F99,216,1,137.39,3,4,2,342,9,Skin Glow
CLI_0C28BB01,50,1,166.91,5,4,3,543,12,Skin Glow
CLI_0C2A1D65,85,1,156.89,4,4,2,442,10,Skin Glow
CLI_0C2A2827,47,1,64.92,5,4,1,541,10,Skin Glow
CLI_0C2ED85C,519,1,189.87,1,4,3,143,8,Skin Bloom
CLI_0C300659,29,1,193.69,5,4,3,543,12,Skin Glow
CLI_0C302148,460,1,105.0,1,4,1,141,6,Skin Bloom
CLI_0C30AABD,395,1,103.95,2,4,1,241,7,Skin Bloom
CLI_0C320A20,84,1,159.9,4,4,2,442,10,Skin Glow
CLI_0C332BDB,85,1,97.02,4,4,1,441,9,Skin Glow
CLI_0C349124,51,5,819.36,5,5,5,555,15,Skin Glow
CLI_0C357120,404,2,455.02,2,5,5,255,12,Skin Bloom
CLI_0C35BE50,257,2,554.78,3,5,5,355,13,Skin Glow
CLI_0C360B49,32,1,152.13,5,4,2,542,11,Skin Glow
CLI_0C37F60D,394,1,306.45,2,4,4,244,10,Skin Bloom
CLI_0C381704,518,1,127.88,1,4,2,142,7,Skin Bloom
CLI_0C3D67EE,440,1,89.54,1,4,1,141,6,Skin Bloom
CLI_0C3DB63D,32,2,336.92,5,5,4,554,14,Skin Glow
CLI_0C4049AA,263,1,148.6,3,4,2,342,9,Skin Glow
CLI_0C405A6F,25,1,577.32,5,4,5,545,14,Skin Glow
CLI_0C41594D,265,2,381.62,3,5,4,354,12,Skin Glow
CLI_0C43C009,127,3,1605.27,4,5,5,455,14,Skin Glow
CLI_0C45823B,498,1,69.93,1,4,1,141,6,Skin Bloom
CLI_0C45D698,147,2,938.79,4,5,5,455,14,Skin Glow
CLI_0C4627D8,104,3,875.79,4,5,5,455,14,Skin Glow
CLI_0C49AAD0,546,1,259.0,1,4,4,144,9,Skin Bloom
CLI_0C4BE29E,450,1,71.63,1,4,1,141,6,Skin Bloom
CLI_0C4E6A09,327,1,99.9,2,4,1,241,7,Skin Bloom
CLI_0C5011F8,508,1,209.0,1,4,3,143,8,Skin Bloom
CLI_0C51FD97,130,2,303.58,4,5,4,454,13,Skin Glow
CLI_0C522414,406,1,223.04,2,4,3,243,9,Skin Bloom
CLI_0C52D73D,489,1,230.57,1,4,3,143,8,Skin Bloom
CLI_0C539EF7,132,1,149.15,4,4,2,442,10,Skin Glow
CLI_0C53D59C,51,2,1625.38,5,5,5,555,15,Skin Glow
CLI_0C53EE7B,129,1,79.61,4,4,1,441,9,Skin Glow
CLI_0C583DFE,130,4,675.0,4,5,5,455,14,Skin Glow
CLI_0C585555,384,1,246.82,2,4,3,243,9,Skin Bloom
CLI_0C5B5A90,129,1,132.86,4,4,2,442,10,Skin Glow
CLI_0C5CF7FC,138,1,150.17,4,4,2,442,10,Skin Glow
CLI_0C5F9313,509,1,147.42,1,4,2,142,7,Skin Bloom
CLI_0C6198C0,448,2,219.95999999999998,1,5,3,153,9,Skin Bloom
CLI_0C63519E,336,1,317.8,2,4,4,244,10,Skin Bloom
CLI_0C63D7A3,478,1,87.69,1,4,1,141,6,Skin Bloom
CLI_0C63E71C,455,1,157.79,1,4,2,142,7,Skin Bloom
CLI_0C654B88,45,2,312.7,5,5,4,554,14,Skin Glow
CLI_0C6571F9,107,2,389.56,4,5,4,454,13,Skin Glow
CLI_0C65BFAA,401,1,414.4,2,4,5,245,11,Skin Bloom
CLI_0C65E396,205,2,157.51,3,5,2,352,10,Skin Glow
CLI_0C666B3E,32,1,148.8,5,4,2,542,11,Skin Glow
CLI_0C680C90,48,1,133.86,5,4,2,542,11,Skin Glow
CLI_0C6853B8,220,1,247.41,3,4,3,343,10,Skin Glow
CLI_0C68AA83,14,1,313.15,5,4,4,544,13,Skin Glow
CLI_0C693ED8,9,5,1035.96,5,5,5,555,15,Skin Glow
CLI_0C6A0F67,439,1,112.24,1,4,1,141,6,Skin Bloom
CLI_0C6B8623,425,1,169.55,2,4,3,243,9,Skin Bloom
CLI_0C6E1EFA,37,4,1611.11,5,5,5,555,15,Skin Glow
CLI_0C71A097,105,2,320.09000000000003,4,5,4,454,13,Skin Glow
CLI_0C72721B,276,1,127.88,3,4,2,342,9,Skin Glow
CLI_0C72AEC2,474,1,304.22,1,4,4,144,9,Skin Bloom
CLI_0C74401E,31,2,314.41,5,5,4,554,14,Skin Glow
CLI_0C748C1A,418,1,120.48,2,4,1,241,7,Skin Bloom
CLI_0C7731F8,1,1,274.47,5,4,4,544,13,Skin Glow
CLI_0C78193F,342,1,313.8,2,4,4,244,10,Skin Bloom
CLI_0C792B7D,313,1,300.48,2,4,4,244,10,Skin Bloom
CLI_0C7AE38D,419,1,440.3,2,4,5,245,11,Skin Bloom
CLI_0C7B6021,301,1,159.0,3,4,2,342,9,Skin Glow
CLI_0C7E3E8F,5,4,948.53,5,5,5,555,15,Skin Glow
CLI_0C8223D9,258,3,539.3199999999999,3,5,5,355,13,Skin Glow
CLI_0C827854,396,1,88.93,2,4,1,241,7,Skin Bloom
CLI_0C835050,183,1,274.9,3,4,4,344,11,Skin Glow
CLI_0C837A27,502,1,270.12,1,4,4,144,9,Skin Bloom
CLI_0C839532,244,1,119.92,3,4,1,341,8,Skin Glow
CLI_0C853147,264,1,161.91,3,4,2,342,9,Skin Glow
CLI_0C864869,479,1,158.52,1,4,2,142,7,Skin Bloom
CLI_0C86E3ED,405,1,167.94,2,4,3,243,9,Skin Bloom
CLI_0C879F6D,473,1,119.92,1,4,1,141,6,Skin Bloom
CLI_0C87CDA2,519,1,86.72,1,4,1,141,6,Skin Bloom
CLI_0C89FA6F,39,2,375.92999999999995,5,5,4,554,14,Skin Glow
CLI_0C8B367F,32,1,791.76,5,4,5,545,14,Skin Glow
CLI_0C8BCE34,37,1,304.18,5,4,4,544,13,Skin Glow
CLI_0C8BE38B,223,1,71.93,3,4,1,341,8,Skin Glow
CLI_0C8C9F86,157,1,69.93,4,4,1,441,9,Skin Glow
CLI_0C8E491C,517,1,239.9,1,4,3,143,8,Skin Bloom
CLI_0C8F73AB,439,1,161.34,1,4,2,142,7,Skin Bloom
CLI_0C937FCB,107,1,131.8,4,4,2,442,10,Skin Glow
CLI_0C94186C,459,1,329.71,1,4,4,144,9,Skin Bloom
CLI_0C94282C,9,7,1799.25,5,5,5,555,15,Skin Glow
CLI_0C9789CF,197,1,299.0,3,4,4,344,11,Skin Glow
CLI_0C99498B,461,2,396.55999999999995,1,5,4,154,10,Skin Bloom
CLI_0C9C9A4E,459,1,187.93,1,4,3,143,8,Skin Bloom
CLI_0C9E997B,129,1,355.24,4,4,4,444,12,Skin Glow
CLI_0C9FB6C6,231,1,276.75,3,4,4,344,11,Skin Glow
CLI_0CA16470,43,1,137.88,5,4,2,542,11,Skin Glow
CLI_0CA2EE1C,303,2,547.21,3,5,5,355,13,Skin Glow
CLI_0CA47445,70,2,899.04,4,5,5,455,14,Skin Glow
CLI_0CA8738A,487,1,264.28,1,4,4,144,9,Skin Bloom
CLI_0CABBFC6,131,1,547.89,4,4,5,445,13,Skin Glow
CLI_0CAC4A90,63,3,1102.88,4,5,5,455,14,Skin Glow
CLI_0CAC997D,290,1,305.16,3,4,4,344,11,Skin Glow
CLI_0CAE8CC6,48,2,326.44,5,5,4,554,14,Skin Glow
CLI_0CB14488,119,1,100.86,4,4,1,441,9,Skin Glow
CLI_0CB17220,221,1,318.42,3,4,4,344,11,Skin Glow
CLI_0CB1D50E,183,1,200.7,3,4,3,343,10,Skin Glow
CLI_0CB1E08F,380,1,122.88,2,4,1,241,7,Skin Bloom
CLI_0CB4B5CA,115,2,769.9200000000001,4,5,5,455,14,Skin Glow
CLI_0CB52072,166,1,329.8,4,4,4,444,12,Skin Glow
CLI_0CB86F67,49,1,189.93,5,4,3,543,12,Skin Glow
CLI_0CB9ABC9,7,2,223.36,5,5,3,553,13,Skin Glow
CLI_0CBA1C55,216,1,108.07,3,4,1,341,8,Skin Glow
CLI_0CBA21F3,226,4,1189.79,3,5,5,355,13,Skin Glow
CLI_0CBA5DCB,52,1,136.55,5,4,2,542,11,Skin Glow
CLI_0CBB5BFE,333,1,94.1,2,4,1,241,7,Skin Bloom
CLI_0CBC2F2E,473,2,308.75,1,5,4,154,10,Skin Bloom
CLI_0CBC8552,468,1,201.28,1,4,3,143,8,Skin Bloom
CLI_0CBE2A31,24,3,685.97,5,5,5,555,15,Skin Glow
CLI_0CC2B58A,252,1,160.08,3,4,2,342,9,Skin Glow
CLI_0CC5865A,86,1,151.52,4,4,2,442,10,Skin Glow
CLI_0CC59E2E,167,1,172.8,4,4,3,443,11,Skin Glow
CLI_0CC77CA1,140,2,231.11,4,5,3,453,12,Skin Glow
CLI_0CC7EBB2,316,1,129.18,2,4,2,242,8,Skin Bloom
CLI_0CC85FA9,107,2,391.25,4,5,4,454,13,Skin Glow
CLI_0CC89EBF,249,1,77.81,3,4,1,341,8,Skin Glow
CLI_0CC9133E,394,1,206.93,2,4,3,243,9,Skin Bloom
CLI_0CC9EBDC,175,1,82.42,3,4,1,341,8,Skin Glow
CLI_0CCB4E34,45,1,78.98,5,4,1,541,10,Skin Glow
CLI_0CCCE4B7,442,1,175.02,1,4,3,143,8,Skin Bloom
CLI_0CCDCE40,215,1,171.62,3,4,3,343,10,Skin Glow
CLI_0CCE9EAE,156,1,79.61,4,4,1,441,9,Skin Glow
CLI_0CD17A8C,154,2,414.0,4,5,5,455,14,Skin Glow
CLI_0CD1D83D,180,1,130.29,3,4,2,342,9,Skin Glow
CLI_0CD1FFDD,83,1,269.1,4,4,4,444,12,Skin Glow
CLI_0CD35897,502,1,208.21,1,4,3,143,8,Skin Bloom
CLI_0CD91D98,53,2,239.29,4,5,3,453,12,Skin Glow
CLI_0CD98631,56,1,374.82,4,4,4,444,12,Skin Glow
CLI_0CD98F42,18,1,105.53,5,4,1,541,10,Skin Glow
CLI_0CDBCEAD,167,4,803.49,4,5,5,455,14,Skin Glow
CLI_0CDDEFE1,55,4,684.77,4,5,5,455,14,Skin Glow
CLI_0CE03755,269,1,127.0,3,4,1,341,8,Skin Glow
CLI_0CE200BE,198,2,414.42999999999995,3,5,5,355,13,Skin Glow
CLI_0CE68756,520,1,128.19,1,4,2,142,7,Skin Bloom
CLI_0CE6E7D2,97,1,302.0,4,4,4,444,12,Skin Glow
CLI_0CE8148E,159,1,279.0,4,4,4,444,12,Skin Glow
CLI_0CE93686,415,1,154.65,2,4,2,242,8,Skin Bloom
CLI_0CE9A8F1,487,1,98.92,1,4,1,141,6,Skin Bloom
CLI_0CEB1087,54,1,163.77,4,4,3,443,11,Skin Glow
CLI_0CEC3016,181,1,89.91,3,4,1,341,8,Skin Glow
CLI_0CEC6ACC,521,1,255.08,1,4,4,144,9,Skin Bloom
CLI_0CF11CCA,48,1,133.86,5,4,2,542,11,Skin Glow
CLI_0CF18303,304,1,181.3,3,4,3,343,10,Skin Glow
CLI_0CF6DA1C,402,1,439.56,2,4,5,245,11,Skin Bloom
CLI_0CF76630,19,7,2193.0099999999998,5,5,5,555,15,Skin Glow
CLI_0CF77EED,482,1,94.72,1,4,1,141,6,Skin Bloom
CLI_0CFE788B,362,1,112.94,2,4,1,241,7,Skin Bloom
CLI_0CFEA7F0,275,1,367.36,3,4,4,344,11,Skin Glow
CLI_0D00EDF4,18,1,453.3,5,4,5,545,14,Skin Glow
CLI_0D0129A6,500,1,319.41,1,4,4,144,9,Skin Bloom
CLI_0D01424F,45,1,77.11,5,4,1,541,10,Skin Glow
CLI_0D0224CC,363,1,119.18,2,4,1,241,7,Skin Bloom
CLI_0D03E0B4,136,1,129.96,4,4,2,442,10,Skin Glow
CLI_0D048814,130,1,79.61,4,4,1,441,9,Skin Glow
CLI_0D04A145,337,1,159.78,2,4,2,242,8,Skin Bloom
CLI_0D07C6A0,314,1,89.37,2,4,1,241,7,Skin Bloom
CLI_0D0864F1,248,1,301.24,3,4,4,344,11,Skin Glow
CLI_0D0CFB2B,79,2,266.11,4,5,4,454,13,Skin Glow
CLI_0D0D1A16,112,1,154.65,4,4,2,442,10,Skin Glow
CLI_0D116BB4,34,2,599.5,5,5,5,555,15,Skin Glow
CLI_0D131143,55,1,272.77,4,4,4,444,12,Skin Glow
CLI_0D13A399,32,1,179.4,5,4,3,543,12,Skin Glow
CLI_0D13F65D,46,3,482.77,5,5,5,555,15,Skin Glow
CLI_0D140873,201,1,184.1,3,4,3,343,10,Skin Glow
CLI_0D14D0F3,48,1,153.76,5,4,2,542,11,Skin Glow
CLI_0D17A017,85,4,324.26,4,5,4,454,13,Skin Glow
CLI_0D190C32,35,2,435.61,5,5,5,555,15,Skin Glow
CLI_0D196F8F,130,2,202.79000000000002,4,5,3,453,12,Skin Glow
CLI_0D1B021C,240,1,139.9,3,4,2,342,9,Skin Glow
CLI_0D1BE0CA,203,2,268.58,3,5,4,354,12,Skin Glow
CLI_0D1CB63C,32,3,457.36,5,5,5,555,15,Skin Glow
CLI_0D1F24A3,455,1,158.01,1,4,2,142,7,Skin Bloom
CLI_0D2002F0,419,3,979.6700000000001,2,5,5,255,12,Skin Bloom
CLI_0D2015EA,215,1,148.5,3,4,2,342,9,Skin Glow
CLI_0D206C42,31,1,310.02,5,4,4,544,13,Skin Glow
CLI_0D237755,382,1,167.2,2,4,3,243,9,Skin Bloom
CLI_0D2437B4,33,4,669.95,5,5,5,555,15,Skin Glow
CLI_0D25663C,439,1,263.01,1,4,4,144,9,Skin Bloom
CLI_0D258C2B,169,2,887.5,3,5,5,355,13,Skin Glow
CLI_0D2623B9,489,1,202.16,1,4,3,143,8,Skin Bloom
CLI_0D28740C,32,1,223.33,5,4,3,543,12,Skin Glow
CLI_0D29D840,41,2,595.07,5,5,5,555,15,Skin Glow
CLI_0D2B951D,411,2,980.99,2,5,5,255,12,Skin Bloom
CLI_0D2EEBCB,264,1,243.78,3,4,3,343,10,Skin Glow
CLI_0D304BB0,412,1,292.6,2,4,4,244,10,Skin Bloom
CLI_0D33022A,364,1,144.61,2,4,2,242,8,Skin Bloom
CLI_0D336F30,442,2,266.91999999999996,1,5,4,154,10,Skin Bloom
CLI_0D33B5B8,130,1,398.58,4,4,4,444,12,Skin Glow
CLI_0D375A4B,201,1,151.71,3,4,2,342,9,Skin Glow
CLI_0D390EF6,17,1,541.82,5,4,5,545,14,Skin Glow
CLI_0D3A8236,194,3,844.04,3,5,5,355,13,Skin Glow
CLI_0D3B402C,498,1,84.11,1,4,1,141,6,Skin Bloom
CLI_0D434AA3,490,1,265.49,1,4,4,144,9,Skin Bloom
CLI_0D43DC6E,288,2,474.12,3,5,5,355,13,Skin Glow
CLI_0D43EEEE,461,1,105.72,1,4,1,141,6,Skin Bloom
CLI_0D46D4DB,112,1,263.91,4,4,4,444,12,Skin Glow
CLI_0D48D679,182,1,339.7,3,4,4,344,11,Skin Glow
CLI_0D49D481,32,1,219.92,5,4,3,543,12,Skin Glow
CLI_0D4A33B3,79,2,966.13,4,5,5,455,14,Skin Glow
CLI_0D4B31B2,325,1,265.43,2,4,4,244,10,Skin Bloom
CLI_0D4B8D61,227,5,1541.0,3,5,5,355,13,Skin Glow
CLI_0D4BB17E,490,1,208.0,1,4,3,143,8,Skin Bloom
